,600500.SH,600588.SH,600600.SH,002024.SZ,399928.SZ,399300.SZ
2007-01-04,4.645089168629393,4.441765914314386,4.28689359016581,6.620152606366549,2.9053271167332873,2.7452700760201543
2007-01-05,4.849289727860018,4.3114859399402325,4.829259965253382,5.629634973354565,2.7604077313543636,2.477636925948566
2007-01-08,4.7332280689278186,4.235876815167391,4.47224819179795,4.528887107867579,2.6943706292021408,2.536931650711816
2007-01-09,4.596229175997295,4.151532706062364,4.167629464419016,4.144807311567367,3.054938008239511,2.649773713996457
2007-01-10,4.515579864398067,4.349692482860591,3.8509232803507505,4.147754578099388,2.8936691522600673,2.6074060155386762
2007-01-11,4.441090665905885,4.202050571584253,3.7747314393735163,4.864959901222259,2.8901107426214687,2.4200475574746276
2007-01-12,4.40179539448439,4.05107186672348,3.5229686829152995,4.4168206507241585,3.449027756508362,2.499556460032339
2007-01-15,4.55896642933395,4.413066373761055,4.383060105204404,9.426610347726447,3.494407702890788,3.1014777800810673
2007-01-16,4.550105015672285,4.648946315085608,4.1576437541782045,10.801900291466318,3.2928114288716808,2.989918907870056
2007-01-17,4.543618848415441,4.436232812993314,3.829735645369773,4.6079967525838486,3.207477324361225,2.7967213486655327
2007-01-18,4.51708435208828,4.251614196642876,3.554807020855302,7.662845203042747,3.025533358122283,2.518672552554571
2007-01-19,4.388950142546883,4.812556142204273,3.3338150082351037,9.810825946259564,2.985556364212007,2.6768681889297787
2007-01-22,4.303748091748945,5.057057982559207,3.1895061782448724,9.498184688364056,2.97195738047212,2.9006552868695192
2007-01-23,4.207798469496968,5.024226678068723,3.402729403380994,6.753587990309121,2.8209105383032527,2.6086366775282452
2007-01-24,4.074018202907683,4.853560891755846,3.240079794231172,5.4822035512004765,2.8801476608440244,2.410172615468017
2007-01-25,4.254608634053616,4.719314568046308,3.6344735798103076,4.227756751377211,2.9761620724864826,2.6444458848583756
2007-01-26,4.222440801039434,4.6363472419025955,3.503185114642213,4.177149214104058,2.831260812309264,2.589550762486688
2007-01-29,4.23914197816391,4.580482895266168,3.452820744204124,4.4574388123345825,2.6949227668898024,2.56588941630892
2007-01-30,4.142912210633298,4.466420394138852,3.3189890014823575,9.471616861002921,2.653135413507217,2.379970482452519
2007-01-31,4.2518911110626885,4.279688435835414,4.476492560075673,8.236484520568812,3.725938933701424,3.605404295264131
2007-02-01,4.113731565291111,4.389505081430741,4.154257118173377,6.484511920533201,3.5082436034811777,3.1568017737224565
2007-02-02,4.071401928890535,4.520816229914919,4.2042475802878485,4.795138079116105,3.6059844905015845,3.3098825347519183
2007-02-05,3.998583623076744,4.3248352820659335,3.845041090770781,5.667204825461111,3.3957822591937394,2.9640756926509058
2007-02-06,3.9937797742030687,4.225656450910894,3.6887621294685298,5.022954307312354,3.2166219792465554,2.7565375565172805
2007-02-07,4.429482088792663,4.174244899606498,3.4377129228947054,4.155660650244784,3.06136697720463,2.651089298769086
2007-02-08,4.342421741013746,4.030406449468101,3.3336085083635565,4.146227262925598,2.9345664306151993,2.497422782220988
2007-02-09,4.1983837614475865,3.923490883868397,3.170380548209086,4.339395170592138,2.879480337130559,2.3014688853880276
2007-02-12,4.069332448828126,3.8980611855997216,3.0980699819379636,5.7397345749483195,2.980639881400499,2.596458332567364
2007-02-13,4.075019911320738,3.7902797398565213,2.9934007428662657,4.217551405253429,2.8684093056108395,2.4331783158691227
2007-02-14,3.9470582795132048,3.718695922509439,2.997427284540621,4.181267035775989,2.8835621384029686,2.4666474509584115
2007-02-15,4.390368212832206,3.7610790794006337,3.0594160590215322,4.844213662802417,2.822996820123757,2.5806094368452515
2007-02-16,4.298089844625881,3.687475413085864,2.957487109580008,4.164074014726169,2.6726105105091813,2.3511544054008184
2007-02-26,4.164124080607512,3.8364841190388153,3.1235344492238526,5.830514385863541,2.9306950363498565,2.2197140020736987
2007-02-27,4.673211929926581,4.679960862682449,4.374008661607025,10.841397104754016,4.416003568962324,4.587764883580084
2007-02-28,4.575637084314999,4.534883454146957,3.980962912366959,4.170754242650978,4.25763750539976,4.19347518233234
2007-03-01,4.683794472106557,4.730287469952842,4.25017669868687,4.464505776427202,4.090895035070786,3.826049342641461
2007-03-02,4.532065280570691,4.534439500378264,3.900431092285869,4.324536693752509,3.8690368856972777,3.376344084435629
